ANT	 Experiment ID
99	 Subject
17-Feb-2019 14:47:42	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
1	 nBlocks
59.505632	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	2	V	1	L	L	1	 451.46	95	27
1	2	2	N	2	L	L	1	 450.52	95	27
1	3	1	N	1	R	R	1	 587.24	24	9
1	4	3	C	2	R	N	0	1700.42	24	45
1	5	1	V	2	L	L	1	 431.61	24	9
1	6	3	C	2	L	L	1	 497.14	95	45
1	7	3	V	2	L	L	1	 418.76	24	45
1	8	1	I	1	L	R	0	 572.84	24	9
1	9	1	V	1	L	R	0	 428.77	24	9
1	10	3	V	1	R	L	0	 295.65	24	45
1	11	3	I	1	R	R	1	 519.70	95	45
1	12	3	V	1	L	L	1	 492.55	24	45
1	13	1	V	1	R	R	1	 484.06	95	9
1	14	1	V	2	L	L	1	 413.48	24	9
1	15	2	N	1	L	L	1	 561.07	24	27
1	16	2	I	1	L	L	1	 497.04	24	27
1	17	2	V	2	L	L	1	 417.26	24	27
1	18	1	V	1	R	L	0	 328.92	24	9
1	19	3	V	1	R	L	0	 432.65	24	45
1	20	2	N	2	L	L	1	 439.10	24	27
1	21	1	I	1	R	R	1	 453.22	95	9
1	22	1	N	2	L	L	1	 427.49	24	9
1	23	3	I	2	L	L	1	 451.32	95	45
1	24	1	C	1	L	L	1	 503.55	24	9
1	25	2	V	1	L	L	1	 436.59	24	27
1	26	2	V	1	L	L	1	 398.31	95	27
1	27	3	C	1	R	R	1	 589.15	95	45
1	28	2	I	1	L	L	1	 515.93	24	27
1	29	2	C	2	R	R	1	 466.06	95	27
1	30	2	V	2	L	L	1	 343.34	24	27
1	31	3	C	1	R	R	1	 518.69	24	45
1	32	3	V	2	R	R	1	 390.97	95	45
1	33	1	V	2	L	L	1	 349.93	95	9
1	34	2	V	2	L	L	1	 411.07	95	27
1	35	3	V	2	L	L	1	 244.41	95	45
1	36	2	V	1	R	R	1	 447.42	95	27
1	37	1	V	1	R	L	0	 401.23	95	9
1	38	2	V	1	R	L	0	 482.59	24	27
1	39	1	N	1	L	L	1	 564.82	95	9
1	40	1	V	1	R	R	1	 491.43	24	9
1	41	2	V	2	L	L	1	 401.90	95	27
1	42	3	V	1	L	R	0	 399.97	24	45
1	43	1	C	1	L	L	1	 554.46	95	9
1	44	3	V	2	L	L	1	 380.45	24	45
1	45	2	V	1	R	R	1	 498.67	24	27
1	46	2	C	1	L	L	1	 509.00	24	27
1	47	1	V	1	L	L	1	 505.84	95	9
1	48	3	V	1	L	L	1	 467.06	24	45
1	49	2	V	1	L	L	1	 377.47	95	27
1	50	2	V	2	R	R	1	 493.29	95	27
1	51	2	N	1	R	R	1	 501.96	24	27
1	52	3	I	2	R	R	1	 441.80	95	45
1	53	3	V	1	R	L	0	 352.79	24	45
1	54	3	V	1	L	L	1	 510.32	95	45
1	55	1	I	1	R	R	1	 588.11	95	9
1	56	3	N	1	L	R	0	 550.22	24	45
1	57	2	N	1	L	L	1	 494.64	95	27
1	58	2	V	1	L	L	1	 482.27	95	27
1	59	1	V	2	R	R	1	 403.27	95	9
1	60	3	V	2	R	R	1	 412.07	24	45
1	61	2	V	2	R	R	1	 385.50	24	27
1	62	1	V	2	R	R	1	 434.23	24	9
1	63	3	V	2	L	L	1	 461.96	24	45
1	64	1	V	2	L	L	1	 420.94	24	9
1	65	1	V	2	L	L	1	 379.70	24	9
1	66	1	V	2	L	L	1	 389.73	95	9
1	67	2	V	2	R	R	1	 488.59	95	27
1	68	3	N	2	R	R	1	 454.59	24	45
1	69	2	C	1	R	L	0	 457.39	24	27
1	70	2	I	2	L	L	1	 603.75	95	27
1	71	3	V	2	L	L	1	 299.60	95	45
1	72	2	C	2	R	R	1	 409.99	95	27
1	73	3	N	2	R	R	1	 404.53	95	45
1	74	3	N	2	L	L	1	 374.96	24	45
1	75	3	V	1	L	L	1	 479.55	95	45
1	76	2	V	1	L	L	1	 570.92	95	27
1	77	2	C	2	R	R	1	 430.92	95	27
1	78	1	I	2	L	L	1	 357.25	24	9
1	79	2	V	1	L	R	0	 411.25	24	27
1	80	3	V	1	R	R	1	 485.67	95	45
1	81	1	V	1	R	R	1	 418.91	24	9
1	82	3	V	1	R	R	1	 487.49	95	45
1	83	1	V	1	L	R	0	 421.62	24	9
1	84	1	I	2	L	L	1	 492.07	95	9
1	85	1	I	2	L	L	1	 486.65	95	9
1	86	2	N	1	R	R	1	 781.29	24	27
1	87	2	V	2	R	R	1	 399.18	24	27
1	88	2	I	2	R	R	1	 556.50	95	27
1	89	3	V	1	L	R	0	 281.66	95	45
1	90	3	C	1	R	R	1	 477.29	95	45
1	91	1	V	2	R	R	1	 370.12	95	9
1	92	1	C	2	R	R	1	 421.22	24	9
1	93	2	V	2	L	L	1	 386.90	95	27
1	94	1	V	2	R	R	1	 385.29	95	9
1	95	2	V	2	L	N	0	1700.12	95	27
1	96	3	V	2	L	N	0	1700.72	95	45
1	97	3	I	1	L	N	0	1700.26	95	45
