ANT	 Experiment ID
3	 Subject
07-Mar-2019 16:07:44	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
3	 nBlocks
60.019068	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	1	N	2	L	R	0	 929.72	96	9
1	2	1	V	2	R	R	1	1000.23	24	9
1	3	3	V	1	L	L	1	1044.94	24	45
1	4	3	C	1	L	L	1	 776.47	24	45
1	5	1	I	1	L	L	1	 892.50	24	9
1	6	1	V	2	L	L	1	 917.23	24	9
1	7	3	V	1	L	L	1	 909.40	96	45
1	8	3	V	2	R	R	1	1029.96	96	45
1	9	1	I	2	L	L	1	 776.57	96	9
1	10	3	N	1	L	L	1	 719.04	24	45
1	11	3	V	2	R	R	1	 750.61	96	45
1	12	1	I	1	R	R	1	 548.85	96	9
1	13	3	I	1	R	R	1	 499.20	24	45
1	14	2	I	2	L	L	1	 630.96	24	27
1	15	2	I	2	L	L	1	 477.10	24	27
1	16	1	N	1	L	L	1	 631.19	96	9
1	17	1	I	1	L	L	1	 801.91	24	9
1	18	1	V	1	L	L	1	 630.50	24	9
1	19	3	V	2	R	R	1	 649.01	24	45
1	20	3	V	1	R	R	1	 626.88	24	45
1	21	3	V	2	R	R	1	 702.19	24	45
1	22	1	V	2	L	L	1	 487.00	96	9
1	23	2	V	2	R	R	1	 555.74	96	27
1	24	3	C	2	R	R	1	 666.50	96	45
1	25	3	C	2	R	R	1	 507.78	24	45
1	26	1	V	1	L	L	1	 555.34	96	9
1	27	2	V	2	L	L	1	 534.99	96	27
1	28	2	V	2	L	L	1	 480.73	96	27
1	29	3	V	2	L	L	1	 658.55	96	45
1	30	3	V	2	L	L	1	 484.76	96	45
1	31	1	V	2	L	L	1	 437.92	96	9
1	32	2	N	2	L	L	1	 429.58	96	27
1	33	1	V	1	R	R	1	 616.54	96	9
1	34	1	V	1	L	L	1	 571.37	24	9
1	35	2	V	2	L	R	0	 468.36	96	27
1	36	2	C	2	R	R	1	 610.60	24	27
1	37	2	V	2	R	R	1	 457.95	24	27
1	38	3	V	2	L	L	1	 532.66	96	45
1	39	2	V	1	L	L	1	 759.51	24	27
1	40	3	C	2	R	R	1	 485.87	24	45
1	41	3	V	2	R	R	1	 686.38	24	45
1	42	3	N	1	R	R	1	 735.30	24	45
1	43	3	V	2	L	L	1	 629.94	96	45
1	44	2	V	2	R	R	1	 772.74	24	27
1	45	1	N	2	L	L	1	 707.05	96	9
1	46	1	V	1	R	R	1	 683.05	96	9
1	47	1	V	1	L	L	1	 659.35	24	9
1	48	3	V	1	R	R	1	 820.61	24	45
1	49	2	C	2	L	R	0	 628.48	24	27
1	50	1	V	2	R	R	1	 575.13	24	9
1	51	3	V	2	L	L	1	 579.74	24	45
1	52	3	V	1	R	R	1	 865.26	96	45
1	53	3	N	2	R	R	1	 627.15	24	45
1	54	3	V	1	L	L	1	 750.72	96	45
1	55	2	C	1	L	L	1	 784.44	24	27
1	56	3	V	2	L	L	1	 589.54	96	45
1	57	2	C	2	R	R	1	 550.74	96	27
1	58	3	V	1	R	R	1	 709.96	96	45
1	59	2	V	1	L	L	1	 929.26	96	27
1	60	2	V	2	L	L	1	 693.08	96	27
1	61	2	V	2	L	L	1	 491.04	96	27
1	62	2	V	2	R	R	1	 551.58	24	27
1	63	3	I	1	L	L	1	 997.47	96	45
1	64	2	V	2	R	R	1	1021.63	24	27
1	65	3	V	2	R	R	1	 490.57	96	45
1	66	1	N	2	R	R	1	 570.98	24	9
1	67	1	N	2	R	R	1	 479.72	24	9
1	68	1	V	2	R	R	1	 511.15	24	9
1	69	2	V	1	R	R	1	 564.17	96	27
1	70	1	V	2	L	R	0	 736.66	24	9
1	71	1	V	1	L	L	1	 759.98	24	9
1	72	2	I	2	L	L	1	1201.63	96	27
